Company,Firm Name from PitchBook
101 Plainview LLC,
1234 Labs Inc,12 Labs
2 Moms and a Heat Press,
AIM2,AIM2
Ali Mustafa Games,
AmpliFLY Video,
Arbitrage Diagnostics,
Archty,
Atlas Biotech,Atlas Biotech
Automate Army,
B&M Creations,BM Creations
Bejeti,
Best of Eden,
CaptainsCozy,
Ceretune LLC,
Code&Play,Code&Play
Composition Labs,
Cook Me Up A Notch,
CoPact,CoPact
Copprium,Copprium
Cultivate,Cultivate
Cyberfortress Academy,
CyberFortress Academy,
Dorsal.fyi,Dorsal.fyi
Elastro,
Erickson Barnett (closed in 2009),Erickson Barnett
ESTAT Actuation,ESTAT Actuation
Fabrisonic,Fabrisonic
Fathom,Fathom
Forcivate,
Get Tipped By Kay,
Giv Local,Giv Local
Giv Local,Giv Local
Global Key Solutions Corp.,Global Key Solutions
Gumption Design Co.,
HiMotion,Hymotion
Hyacinthe & Co,
HyCO Tech Solutions,HyCO Tech Solutions
Icarus Robotics Corporation,Icarus Robotics
"Impossibly, Inc.",
InceptEV,InceptEV
IselaK.co,
JootPlex,
KicksByMord,
Koveroo Bedding LLC.,
Lalu Treasures,
Leiote,
Letting It Go,
LionPad,
LOGOS,LogoS
Lostrun Dyes,
Magnitude Instruments,Magnitude Instruments
Mark's Electronic Superstore,
Medulate,Medulate
Medulate,Medulate
"MH Labs, LLC",
Midwest Movement Collective,
Moyer Realty Advisors LLC,
NASADYA Inc.,
Navengage Education Technologies,Navengage
Not registered yet,
Noventum Custom Software,
Olive,Olive
OmniSpeech,OmniSpeech
"Ovrture, Inc.",
Panic Lock LLC,
PD,pd3
Pennsylvania Biotechnology Center,
Phlux Technologies,Phlux
Pinto Financial,
Plum LLC,Plum Lending
Power Brief LLC,
Prime Management Contracting LLC (PoweredbyPMC),
ProGress Industries LLC,
Prompt Diagnostics,Prompt (Laboratory Services (Healthcare))
qMe,Qme
RawFaith,
Reconstruct,Reconstruct
Rediscover State College,
Romix Biosciences,
Sagax.ai,sagax.ai
Sand Saka LLC,
Silent Spectrum,
Singing Onstage,
Skygaurd,
Sotheby's Institute of Art,Sotheby's Institute of Art
SparkGene Biotech,SparkGene Biotech
Stealth Startup,
Tanney Industries LLC,
Terraforma Carbon LLC,Terraforma Carbon
The Mindful Innovator,
The Wild Umbrella,
The Wild Umbrella,
The Wild Umbrella,
Tierney Education,
"Titanium Infrastructure, LLC.",
TMM LLC,
Trails Community LLC,
True AI,TRUE AI
Truxtun,
TSG Consulting,
TurnUp,TurnUp
Univsense,
"Valhalla Business Advisors, LLC",
"Vantage PT, LLC",
Vasavance,
videon,Videon
Wise Telemetry,Wise Telemetry
WOLVESONTHEBOARDWALK LLC,
Workbench Projects,Workbench Projects
Ycenter,Ycenter
Zap,Zap